"id","label","type","__class__","route_label","model_name","lifecycle_phase","task_or_configuration_verbatim","source_object_verbatim","source_object_normalized","source_modality_normalized","transformation_chain_verbatim","transformation_chain_normalized","model_visible_form_verbatim","carrier_family","carrier_subtype","insertion_or_fusion_verbatim","fusion_topology","text_role","input_status","evidence_quote","section_heading","supporting_figure_or_table","evidence_status","uncertainty","__provenance__","taxonomy_version","title","doi","input_routes"
"TaxonomyCodedRoute_a3f499eed27bc77d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 8b","OCellus-Agent","evaluation","ablation results on eighty trials","eighty trials (twenty natural-language queries times four datasets)","eighty trials (twenty natural-language queries times four datasets)","natural language text","[]","[]","pipeline accuracy for OCellus-Agent full, without Layer-3 Critic, without all Verifier layers, without LoRA switching forcing the base model on all tasks, and flat ReAct loop without the Coordinator directedacyclic-graph decomposition","other_evidence_grounded","other_evidence_grounded","without Layer-3 Critic, without all Verifier layers, without LoRA switching forcing the base model on all tasks, and flat ReAct loop without the Coordinator directedacyclic-graph decomposition","unclear","metadata_or_context","ablation_only","ablation results on eighty trials","Results","Figure 8b","text_plus_figure","This route is an evaluation/ablation summary rather than a direct model input.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [37], ""pages"": [33, 34], ""refs"": [""#/texts/629"", ""#/texts/630"", ""#/texts/631"", ""#/texts/632"", ""#/texts/633"", ""#/texts/634"", ""#/texts/635"", ""#/texts/636""], ""spans"": [{""chunk"": 37, ""start"": 431, ""end"": 498}]}","","","",""
"TaxonomyCodedRoute_b071c86e7bcccbf0","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","single-cell RNA-seq pipeline","OCellus-Agent","inference","a seven-step graph covering loading, mitochondrial and ribosomal filtering, lognormalization, cell-type annotation, embedding, UMAP plotting, and subset summarization","an uploaded pbmc.h5ad file","an uploaded pbmc.h5ad file","single-cell RNA-seq file","['loading', 'mitochondrial and ribosomal filtering', 'lognormalization', 'cell-type annotation', 'embedding', 'UMAP plotting', 'subset summarization']","['loading', 'mitochondrial and ribosomal filtering', 'lognormalization', 'cell-type annotation', 'embedding', 'UMAP plotting', 'subset summarization']","an uploaded pbmc.h5ad file","other_evidence_grounded","other_evidence_grounded","takes an uploaded pbmc.h5ad file","unclear","no_text_on_this_route","actual_model_input","takes an uploaded pbmc.h5ad file","Results","","explicit_text","The document does not specify the file serialization or any textual prompt beyond the uploaded h5ad file.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [38], ""pages"": [34, 35], ""refs"": [""#/texts/672"", ""#/texts/675"", ""#/texts/676"", ""#/texts/677"", ""#/texts/678"", ""#/texts/679"", ""#/texts/680"", ""#/texts/681""], ""spans"": [{""chunk"": 38, ""start"": 1408, ""end"": 1436}]}","","","",""
"TaxonomyCodedRoute_cdd02c79a93c64cd","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","gene-function question answering","OCellus-Agent","inference","a STRING protein-interaction query, a gene-embedding step, and an explanation step","BRCA1 functions and interactors?","BRCA1 functions and interactors?","natural language text","['a STRING protein-interaction query', 'a gene-embedding step', 'an explanation step']","['STRING protein-interaction query', 'gene embedding', 'explanation']","BRCA1 functions and interactors?","text_native_token_stream","plain_language_prompt_or_question","Planner emits a STRING protein-interaction query, a gene-embedding step, and an explanation step","unclear","instruction_or_query","actual_model_input","takes 'BRCA1 functions and interactors?'","Results","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [38], ""pages"": [34, 35], ""refs"": [""#/texts/672"", ""#/texts/675"", ""#/texts/676"", ""#/texts/677"", ""#/texts/678"", ""#/texts/679"", ""#/texts/680"", ""#/texts/681""], ""spans"": [{""chunk"": 38, ""start"": 1866, ""end"": 1898}]}","","","",""
"TaxonomyCodedRoute_0ef334c042314e8a","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Table 3 . OCellus-Agent-Bench three-track evaluation.","OCellus-Agent","evaluation","three-track OCellus-Agent-Bench benchmark","OCellus-Agent-Bench","three-track benchmark","mixed natural-language and biological evaluation","[]","[]","three-track OCellus-Agent-Bench benchmark","other_evidence_grounded","other_evidence_grounded","On the three-track OCellus-Agent-Bench benchmark","unclear","metadata_or_context","unclear","On the three-track OCellus-Agent-Bench benchmark (Table 3),","Results","Table 3","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [39], ""pages"": [35, 36], ""refs"": [""#/texts/697"", ""#/texts/698"", ""#/tables/4"", ""#/texts/701""], ""spans"": [{""chunk"": 39, ""start"": 1364, ""end"": 1417}]}","","","",""
"TaxonomyCodedRoute_8620e30cb0dc75f8","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Pipeline accuracy","OCellus-Agent","evaluation","Task success rate (Verifier-L3 ACCEPT)","20 NL queries × 4 datasets (80 trials)","20 natural-language queries across 4 datasets","natural language","[]","[]","20 NL queries × 4 datasets","text_native_token_stream","plain_language_prompt_or_question","Dataset = 20 NL queries × 4 datasets (80 trials).","tokenizer_sequence","instruction_or_query","actual_model_input","Dataset = 20 NL queries × 4 datasets (80 trials).","Results","Table 3","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [3, 6, 36, 37, 39, 52], ""pages"": [1, 2, 5, 6, 32, 33, 34, 35, 36, 49], ""refs"": [""#/tables/0"", ""#/texts/39"", ""#/texts/40"", ""#/texts/41"", ""#/texts/42"", ""#/texts/43"", ""#/texts/44"", ""#/texts/45""], ""spans"": [{""chunk"": 3, ""start"": 2071, ""end"": 2088}, {""chunk"": 6, ""start"": 2065, ""end"": 2082}, {""chunk"": 36, ""start"": 1690, ""end"": 1707}, {""chunk"": 37, ""start"": 500, ""end"": 517}]}","","","",""
"TaxonomyCodedRoute_0ab6396dfc1fa95d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Perturbation","OCellus-Agent","evaluation","Pearson (top-20 DE genes); Direction accuracy","Replogle 2022 K562 (457 unseen KO)","Replogle 2022 K562 unseen knockout benchmark","single-cell perturbation biology","[]","[]","Replogle 2022 K562 (457 unseen KO)","other_evidence_grounded","other_evidence_grounded","Dataset = Replogle 2022 K562 (457 unseen KO).","unclear","no_text_on_this_route","actual_model_input","Dataset = Replogle 2022 K562 (457 unseen KO).","Results","Table 3","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [39], ""pages"": [35, 36], ""refs"": [""#/texts/697"", ""#/texts/698"", ""#/tables/4"", ""#/texts/701""], ""spans"": [{""chunk"": 39, ""start"": 1727, ""end"": 1772}]}","","","",""
"TaxonomyCodedRoute_234313965a85dffa","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","NL explanation","OCellus-Agent","evaluation","Domain-expert Likert (1 - 5)","50 predictions, 3 raters","50 predictions","natural language","[]","[]","50 predictions","text_native_token_stream","plain_language_prompt_or_question","Dataset = 50 predictions, 3 raters.","tokenizer_sequence","generated_output","generated_output","Dataset = 50 predictions, 3 raters.","Results","Table 3","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8, 39], ""pages"": [7, 35, 36], ""refs"": [""#/pictures/1"", ""#/texts/697"", ""#/texts/698"", ""#/tables/4"", ""#/texts/701""], ""spans"": [{""chunk"": 8, ""start"": 924, ""end"": 938}, {""chunk"": 39, ""start"": 1987, ""end"": 2001}]}","","","",""
"TaxonomyCodedRoute_ed56836c368e585b","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Table 4 . Ablation study -OCellus-Agent pipeline accuracy.","OCellus-Agent","evaluation","Ablation study -OCellus-Agent pipeline accuracy.","pipeline accuracy","pipeline accuracy","text","[]","[]","Table 4 . Ablation study -OCellus-Agent pipeline accuracy.","text_native_token_stream","other_evidence_grounded","Ablation study -OCellus-Agent pipeline accuracy.","unclear","metadata_or_context","ablation_only","Table 4 . Ablation study -OCellus-Agent pipeline accuracy.","Results","Table 4","explicit_text","Table title rather than a specific ablation variant.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [39], ""pages"": [35, 36], ""refs"": [""#/texts/697"", ""#/texts/698"", ""#/tables/4"", ""#/texts/701""], ""spans"": [{""chunk"": 39, ""start"": 2194, ""end"": 2252}]}","","","",""
"TaxonomyCodedRoute_36062997671d45a7","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","OCellus-Agent (full)","OCellus-Agent","evaluation","OCellus-Agent (full)","Success rate","success rate","text","[]","[]","OCellus-Agent (full)","text_native_token_stream","other_evidence_grounded","OCellus-Agent (full)","unclear","metadata_or_context","ablation_only","OCellus-Agent (full), Success rate = 75.0% (60/80).","Results","Table 4","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [36, 40], ""pages"": [32, 33, 36, 37], ""refs"": [""#/pictures/10"", ""#/texts/611"", ""#/texts/612"", ""#/texts/613"", ""#/texts/614"", ""#/texts/615"", ""#/texts/616"", ""#/texts/617""], ""spans"": [{""chunk"": 36, ""start"": 1976, ""end"": 1996}, {""chunk"": 40, ""start"": 143, ""end"": 163}]}","","","",""
"TaxonomyCodedRoute_f8de06125232fd5a","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","No Layer-3 Critic","OCellus-Agent","evaluation","No Layer-3 Critic","Success rate","success rate","text","['Critic LoRA disabled', 'only Layers 1 - 2 verify']","['Critic LoRA disabled', 'only Layers 1 - 2 verify']","No Layer-3 Critic","text_native_token_stream","other_evidence_grounded","Critic LoRA disabled, only Layers 1 - 2 verify.","unclear","metadata_or_context","ablation_only","No Layer-3 Critic, Success rate = 58.8% (47/80).","Results","Table 4","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [36, 40], ""pages"": [32, 33, 36, 37], ""refs"": [""#/pictures/10"", ""#/texts/611"", ""#/texts/612"", ""#/texts/613"", ""#/texts/614"", ""#/texts/615"", ""#/texts/616"", ""#/texts/617""], ""spans"": [{""chunk"": 36, ""start"": 1935, ""end"": 1952}, {""chunk"": 40, ""start"": 275, ""end"": 292}]}","","","",""
"TaxonomyCodedRoute_7fabe8797b02cd8d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Flat ReAct loop","Flat ReAct loop","evaluation","Flat ReAct loop","Success rate","success rate","text","['Coordinator DAG removed', 'single-turn ReAct']","['Coordinator DAG removed', 'single-turn ReAct']","Flat ReAct loop","text_native_token_stream","other_evidence_grounded","Coordinator DAG removed, single-turn ReAct.","unclear","metadata_or_context","baseline_only","Flat ReAct loop, Success rate = 51.3% (41/80).","Results","Table 4","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [36, 37, 39, 40, 42], ""pages"": [32, 33, 34, 35, 36, 37, 39, 40], ""refs"": [""#/pictures/10"", ""#/texts/611"", ""#/texts/612"", ""#/texts/613"", ""#/texts/614"", ""#/texts/615"", ""#/texts/616"", ""#/texts/617""], ""spans"": [{""chunk"": 36, ""start"": 1854, ""end"": 1869}, {""chunk"": 37, ""start"": 759, ""end"": 774}, {""chunk"": 39, ""start"": 339, ""end"": 354}, {""chunk"": 40, ""start"": 450, ""end"": 465}]}","","","",""
"TaxonomyCodedRoute_919ffdeb4e242da2","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","No Verifier (all layers)","OCellus-Agent","evaluation","All three Verifier layers disabled.","Verifier layers","Verifier layers","model configuration","[]","[]","All three Verifier layers disabled.","other_evidence_grounded","other_evidence_grounded","All three Verifier layers disabled.","unclear","metadata_or_context","ablation_only","All three Verifier layers disabled.","Results","Table 4","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [40], ""pages"": [36, 37], ""refs"": [""#/tables/5"", ""#/texts/705"", ""#/texts/706"", ""#/texts/707"", ""#/texts/708"", ""#/texts/709"", ""#/texts/710"", ""#/texts/711""], ""spans"": [{""chunk"": 40, ""start"": 615, ""end"": 639}]}","","","",""
"TaxonomyCodedRoute_51a45c2b322b0e5e","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","No LoRA switching","OCellus-Agent","evaluation","All tasks use base Qwen3.5-9B (no expert LoRAs)","expert LoRAs","expert LoRAs","model configuration","[]","[]","All tasks use base Qwen3.5-9B (no expert LoRAs)","other_evidence_grounded","other_evidence_grounded","All tasks use base Qwen3.5-9B (no expert LoRAs)","unclear","metadata_or_context","ablation_only","All tasks use base Qwen3.5-9B (no expert LoRAs)","Results","Table 4","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [36, 40], ""pages"": [32, 33, 36, 37], ""refs"": [""#/pictures/10"", ""#/texts/611"", ""#/texts/612"", ""#/texts/613"", ""#/texts/614"", ""#/texts/615"", ""#/texts/616"", ""#/texts/617""], ""spans"": [{""chunk"": 36, ""start"": 1813, ""end"": 1830}, {""chunk"": 40, ""start"": 799, ""end"": 816}]}","","","",""
"TaxonomyCodedRoute_c88a9d2fa3c84c0f","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","salusSTS","OCellus","pretraining","contributes approximately 17 percent of OCellus's current training samples","salusSTS in-house 0.1-micrometer subcellular spatial transcriptomics platform","salusSTS platform","spatial transcriptomics","[]","[]","twenty million mouse-organ tissue cells with multi-scale bin40 / bin100 / bin400 outputs at subcellular resolution","discrete_biological_symbol_stream","multi_track_structural_symbol_stream","multi-scale bin40 / bin100 / bin400 outputs at subcellular resolution","unclear","biological_payload","actual_model_input","salusSTS in-house 0.1-micrometer subcellular spatial transcriptomics platform contributes approximately 17 percent","Discussion","Supplementary Figure S1c","text_plus_figure","Training-phase and carrier coding are inferred from the description of current training samples and bin outputs.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [12, 13, 42, 53], ""pages"": [10, 11, 39, 40, 50], ""refs"": [""#/pictures/3"", ""#/texts/201"", ""#/texts/202"", ""#/texts/203"", ""#/texts/204"", ""#/texts/205"", ""#/texts/206"", ""#/texts/207""], ""spans"": [{""chunk"": 12, ""start"": 1641, ""end"": 1649}, {""chunk"": 13, ""start"": 1898, ""end"": 1906}, {""chunk"": 42, ""start"": 604, ""end"": 612}, {""chunk"": 53, ""start"": 426, ""end"": 434}]}","","","",""
"TaxonomyCodedRoute_1d41b40505d33f8d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Planner","OCellus-Agent","inference","the trained Planner decomposes the query into an executable directed acyclic graph","Planner","Planner","natural language dialogue","[]","[]","a researcher describes what they want to know","text_native_token_stream","plain_language_prompt_or_question","a researcher describes what they want to know","tokenizer_sequence","instruction_or_query","actual_model_input","the trained Planner decomposes the query into an executable directed acyclic graph","Discussion","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [41, 42, 43], ""pages"": [37, 38, 39, 40], ""refs"": [""#/texts/728"", ""#/texts/729"", ""#/texts/732"", ""#/texts/733"", ""#/texts/734"", ""#/texts/735"", ""#/texts/736"", ""#/texts/737""], ""spans"": [{""chunk"": 41, ""start"": 119, ""end"": 129}, {""chunk"": 42, ""start"": 119, ""end"": 129}, {""chunk"": 43, ""start"": 119, ""end"": 129}]}","","","",""
"TaxonomyCodedRoute_f56691b2f1e137b0","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Router","OCellus-Agent","inference","the rule-based Router dispatches each step to the appropriate expert","the rule-based Router","rule-based Router","natural-language dialogue","[]","[]","a natural-language dialogue in which a researcher describes what they want to know","text_native_token_stream","plain_language_prompt_or_question","the rule-based Router dispatches each step to the appropriate expert","retrieval_or_tool_context","instruction_or_query","actual_model_input","the rule-based Router dispatches each step to the appropriate expert","Discussion","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [42], ""pages"": [39, 40], ""refs"": [""#/texts/758"", ""#/texts/761"", ""#/texts/762"", ""#/texts/763"", ""#/texts/764"", ""#/texts/765"", ""#/texts/766"", ""#/texts/767""], ""spans"": [{""chunk"": 42, ""start"": 2049, ""end"": 2117}]}","","","",""
"TaxonomyCodedRoute_182f63f8efbcfdce","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Verifier","OCellus-Agent","inference","the three-layer Verifier provides biological plausibility checks before any result reaches the user","the three-layer Verifier","three-layer Verifier","generated result text","[]","[]","the three-layer Verifier","text_native_token_stream","plain_language_prompt_or_question","the three-layer Verifier provides biological plausibility checks before any result reaches the user","other_explicit","metadata_or_context","actual_model_input","the three-layer Verifier provides biological plausibility checks before any result reaches the user","Discussion","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [38, 42, 50], ""pages"": [34, 35, 39, 40, 46, 47, 48], ""refs"": [""#/texts/672"", ""#/texts/675"", ""#/texts/676"", ""#/texts/677"", ""#/texts/678"", ""#/texts/679"", ""#/texts/680"", ""#/texts/681""], ""spans"": [{""chunk"": 38, ""start"": 1091, ""end"": 1115}, {""chunk"": 42, ""start"": 2466, ""end"": 2490}, {""chunk"": 50, ""start"": 1344, ""end"": 1368}]}","","","",""
"TaxonomyCodedRoute_4e666840da2fe8ce","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Coordinator-plus-Verifier architecture","OCellus-Agent","evaluation","The 75 percent task success rate exceeds the 51 percent baseline of a flat ReAct loop","the Coordinator-plus-Verifier architecture","Coordinator-plus-Verifier architecture","benchmark evaluation text","[]","[]","the Coordinator-plus-Verifier architecture","text_native_token_stream","plain_language_prompt_or_question","the Coordinator-plus-Verifier architecture contributes to pipeline success","other_explicit","metadata_or_context","unclear","The 75 percent task success rate exceeds the 51 percent baseline of a flat ReAct loop","Discussion","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [42], ""pages"": [39, 40], ""refs"": [""#/texts/758"", ""#/texts/761"", ""#/texts/762"", ""#/texts/763"", ""#/texts/764"", ""#/texts/765"", ""#/texts/766"", ""#/texts/767""], ""spans"": [{""chunk"": 42, ""start"": 2818, ""end"": 2856}]}","","","",""
"TaxonomyCodedRoute_1987d30d7851205b","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Supplementary Table S1","OCellus","fine_tuning","representative prompt templates by task category","a custom prompt template (OCellusProtocol)","custom prompt template","prompt template text","[]","[]","a custom prompt template (OCellusProtocol)","text_native_token_stream","structured_biological_prompt_or_task_scaffold","wraps instruction formatting using the ChatML convention with special tokens for task description, input data, expected output, end-of-sequence marker, and packing separator","tokenizer_sequence","modality_or_task_selector","actual_model_input","representative prompt templates by task category are shown in Supplementary Table S1","Model architecture","Supplementary Table S1","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [44], ""pages"": [41], ""refs"": [""#/texts/775"", ""#/texts/776"", ""#/texts/777"", ""#/texts/778"", ""#/texts/779"", ""#/texts/780"", ""#/texts/781"", ""#/texts/782""], ""spans"": [{""chunk"": 44, ""start"": 1373, ""end"": 1395}]}","","","",""
"TaxonomyCodedRoute_6319641f59b72bed","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","OCellusProtocol","OCellus","unclear","A custom prompt template (OCellusProtocol) wraps instruction formatting using the ChatML convention with special tokens for task description, input data, expected output, end-of-sequence marker, and packing separator","instruction formatting","instruction formatting","text","[]","[]","ChatML convention with special tokens for task description, input data, expected output, end-of-sequence marker, and packing separator","text_native_token_stream","structured_biological_prompt_or_task_scaffold","wraps instruction formatting","tokenizer_sequence","instruction_or_query","actual_model_input","A custom prompt template (OCellusProtocol) wraps instruction formatting","Model architecture","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [44], ""pages"": [41], ""refs"": [""#/texts/775"", ""#/texts/776"", ""#/texts/777"", ""#/texts/778"", ""#/texts/779"", ""#/texts/780"", ""#/texts/781"", ""#/texts/782""], ""spans"": [{""chunk"": 44, ""start"": 1119, ""end"": 1134}]}","","","",""
"TaxonomyCodedRoute_d5f1d15475e18152","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Stage 1 (pretraining)","OCellus","pretraining","Stage 1 (pretraining) trains on seven representation-learning tasks -cell-sentence prediction, gene-network node and link masking, and four spatial variants -for three epochs","seven representation-learning tasks","seven representation-learning tasks","single-cell and spatial biology","[]","[]","cell-sentence prediction, gene-network node and link masking, and four spatial variants","text_native_token_stream","structured_biological_prompt_or_task_scaffold","Stage 1 (pretraining) trains on seven representation-learning tasks","tokenizer_sequence","instruction_or_query","actual_model_input","Stage 1 (pretraining) trains on seven representation-learning tasks","Training pipeline","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [45], ""pages"": [41, 42], ""refs"": [""#/texts/799"", ""#/texts/802"", ""#/texts/803"", ""#/texts/804"", ""#/texts/805"", ""#/texts/806"", ""#/texts/807"", ""#/texts/808""], ""spans"": [{""chunk"": 45, ""start"": 265, ""end"": 286}]}","","","",""
"TaxonomyCodedRoute_496c7140b600239b","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Stage 2","OCellus","unclear","Stage 2 merges the pretrained adapters into the base weights via standard PEFT merging, producing the OCellus-Pretrain checkpoint","the pretrained adapters","pretrained adapters","model parameters","[]","[]","standard PEFT merging","other_evidence_grounded","other_evidence_grounded","merges the pretrained adapters into the base weights via standard PEFT merging","other_explicit","no_text_on_this_route","actual_model_input","Stage 2 merges the pretrained adapters into the base weights via standard PEFT merging","Training pipeline","","explicit_text","This is a parameter-space merge rather than a data-input route.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [15, 16, 45], ""pages"": [12, 13, 41, 42], ""refs"": [""#/texts/239"", ""#/texts/240"", ""#/texts/241"", ""#/texts/242"", ""#/texts/245"", ""#/texts/246"", ""#/texts/247"", ""#/texts/248""], ""spans"": [{""chunk"": 15, ""start"": 418, ""end"": 425}, {""chunk"": 16, ""start"": 381, ""end"": 388}, {""chunk"": 45, ""start"": 569, ""end"": 576}]}","","","",""
"TaxonomyCodedRoute_b95815fc94c1b568","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Stage 3 (multi-task finetuning)","OCellus","fine_tuning","Stage 3 (multi-task finetuning) trains on twenty-six tasks -sixteen single-cell and ten spatial -covering perturbation prediction, gene-interaction classification","twenty-six tasks","twenty-six tasks","single-cell, spatial, and perturbation biology","[]","[]","sixteen single-cell and ten spatial","text_native_token_stream","structured_biological_prompt_or_task_scaffold","trains on twenty-six tasks","tokenizer_sequence","modality_or_task_selector","actual_model_input","Stage 3 (multi-task finetuning) trains on twenty-six tasks","Training pipeline","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [45], ""pages"": [41, 42], ""refs"": [""#/texts/799"", ""#/texts/802"", ""#/texts/803"", ""#/texts/804"", ""#/texts/805"", ""#/texts/806"", ""#/texts/807"", ""#/texts/808""], ""spans"": [{""chunk"": 45, ""start"": 700, ""end"": 731}]}","","","",""
"TaxonomyCodedRoute_14262e9979af08b1","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Stage 4","OCellus","fine_tuning","Stage 4 produces the final merged OCellus checkpoint.","the final merged OCellus checkpoint","checkpoint","model weights","[]","[]","final merged OCellus checkpoint","other_evidence_grounded","other_evidence_grounded","Stage 4 produces the final merged OCellus checkpoint.","unclear","no_text_on_this_route","generated_output","Stage 4 produces the final merged OCellus checkpoint.","Training pipeline","","explicit_text","No model-facing input is described; this is checkpoint production.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [45], ""pages"": [41, 42], ""refs"": [""#/texts/799"", ""#/texts/802"", ""#/texts/803"", ""#/texts/804"", ""#/texts/805"", ""#/texts/806"", ""#/texts/807"", ""#/texts/808""], ""spans"": [{""chunk"": 45, ""start"": 1746, ""end"": 1753}]}","","","",""
"TaxonomyCodedRoute_8c645b503c624b24","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Video-memory optimization and training configuration","OCellus","fine_tuning","The optimal configuration (per-device batch size thirty-two, gradient accumulation two, sequence packing) yielded 6.17 seconds per training iteration, completing the full four-stage pipeline in approximately 2.5 days.","GPU-memory-optimization strategies","training configuration","text","[]","[]","per-device batch size thirty-two, gradient accumulation two, sequence packing","text_native_token_stream","plain_language_prompt_or_question","The optimal configuration (per-device batch size thirty-two, gradient accumulation two, sequence packing)","tokenizer_sequence","metadata_or_context","actual_model_input","per-device batch size thirty-two, gradient accumulation two, sequence packing","Video-memory optimization and training configuration","","explicit_text","This route is training-configuration text rather than a biological payload.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [46], ""pages"": [42, 43], ""refs"": [""#/texts/826"", ""#/texts/829"", ""#/texts/830"", ""#/texts/831""], ""spans"": [{""chunk"": 46, ""start"": 149, ""end"": 201}]}","","","",""
"TaxonomyCodedRoute_0225b8801ff43cc1","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Data preprocessing 21","OCellus","pretraining","We apply a regular-expression filter before gene ranking, increasing the count of unique informative marker genes 19.6-fold.","raw expression matrices","expression matrix","single-cell transcriptomic data","[]","[]","ranked gene sentence","text_native_token_stream","serialized_biological_context_or_ordered_profile","We apply a regular-expression filter before gene ranking","tokenizer_sequence","biological_payload","actual_model_input","We apply a regular-expression filter before gene ranking","Data preprocessing 21","","explicit_text","The downstream model-visible form is inferred from the ranked-gene serialization described elsewhere in the document.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [47, 48], ""pages"": [44, 45], ""refs"": [""#/texts/835"", ""#/texts/836"", ""#/texts/837"", ""#/texts/838"", ""#/texts/839"", ""#/texts/840"", ""#/texts/841"", ""#/texts/842""], ""spans"": [{""chunk"": 47, ""start"": 127, ""end"": 148}, {""chunk"": 48, ""start"": 127, ""end"": 148}]}","","","",""
"TaxonomyCodedRoute_72b9ed3921d38a59","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","EvenClock spatial encoding","OCellus","fine_tuning","This encoding is appended to the center cell's own ranked-gene sentence for spatial tasks and omitted for non-spatial tasks","spatial dataset cell coordinates","spatial cell coordinates","spatial transcriptomic data","[]","[]","the center cell's own ranked-gene sentence","text_native_token_stream","serialized_biological_context_or_ordered_profile","This encoding is appended to the center cell's own ranked-gene sentence for spatial tasks","concatenation","biological_payload","actual_model_input","This encoding is appended to the center cell's own ranked-gene sentence for spatial tasks","EvenClock spatial encoding","","explicit_text","The spatial neighborhood encoding is serialized as text and appended to the cell sentence.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [22, 48], ""pages"": [19, 20, 45], ""refs"": [""#/texts/386"", ""#/texts/389"", ""#/texts/390"", ""#/texts/391"", ""#/texts/392"", ""#/texts/393"", ""#/texts/394"", ""#/pictures/6""], ""spans"": [{""chunk"": 22, ""start"": 1005, ""end"": 1031}, {""chunk"": 48, ""start"": 149, ""end"": 175}]}","","","",""
