record_id,candidate_id,source_corpus,title,status,section_count,missing_targets,rejected_full_document_sections,data_source_headings,input_representation_headings,data_source_chars,input_representation_chars,selected_full_text_sections_chars,provenance_unresolved,graph_summary
full_2026-07-06__rec_001302,full_2026-07-06__rec_001302,include,How to improve polygenic prediction from whole-genome sequencing data by leveraging predicted epigenomic features?,ok,2,,0,Main Manuscript for > Significance Statement,Main Manuscript for > Workflow of the Epi-PRS,729,4131,4992,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_001302/screening_evidence_summary.json
full_2026-07-06__rec_001313,full_2026-07-06__rec_001313,uncertain,PlantBiMoE: A Bidirectional Foundation Model with Sparsemoe for Plant Genomes,ok,1,,0,II. MATERIALS AND METHODS > 1) A pre-training dataset comprising genomic sequences from 42 plant species,,1471,0,1613,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_001313/screening_evidence_summary.json
full_2026-07-06__rec_001623,full_2026-07-06__rec_001623,include,A Genomic Language Model for Zero-Shot Prediction of Promoter Variant Effects,ok,2,,0,LOL-EVE: Predicting Promoter Variant Effects from Evolutionary Sequences > Abstract,3 LOL-EVE > 3.1 Model Architecture,1341,3261,4762,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_001623/screening_evidence_summary.json
full_2026-07-06__rec_001889,full_2026-07-06__rec_001889,include,scMOBA: A conversational single-cell Multi-Omics Brain Agent across species,ok,1,,0,scMOBA: A conversational single-cell Multi-Omics Brain Agent across species > Abstract,,1441,0,1565,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_001889/screening_evidence_summary.json
full_2026-07-06__rec_001961,full_2026-07-06__rec_001961,uncertain,LangCell: Language-Cell Pre-training for Cell Identity Understanding,ok,2,,0,LangCell: Language-Cell Pre-training for Cell Identity Understanding > 4. Experiments > 4.4. Ablation Study,LangCell: Language-Cell Pre-training for Cell Identity Understanding > 1. Introduction,4328,8166,12730,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_001961/screening_evidence_summary.json
full_2026-07-06__rec_002517,full_2026-07-06__rec_002517,include,ChatCell: Facilitating Single-Cell Analysis with Natural Language,ok,2,,0,C Datasets,1 Introduction,971,5069,6107,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_002517/screening_evidence_summary.json
full_2026-07-06__rec_003095,full_2026-07-06__rec_003095,uncertain,Cell ontology guided transcriptome foundation model,ok,2,,0,Cell-ontology guided transcriptome foundation model > Abstract,Cell-ontology guided transcriptome foundation model > 2.1 Data Preprocessing,1680,1312,3173,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_003095/screening_evidence_summary.json
full_2026-07-06__rec_003131,full_2026-07-06__rec_003131,include,Gp-gpt: Large language model for gene-phenotype mapping,ok,2,,0,GP-GPT: Large Language Model for Gene-Phenotype Mapping > Abstract,3 Method > 3.2 Model > Training on Genomics Data,1456,2760,4373,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_003131/screening_evidence_summary.json
full_2026-07-06__rec_003517,full_2026-07-06__rec_003517,include,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,ok,2,,0,4 Methods > 4.1 X-Cell Methodology > 4.1.1 X-Atlas/Pisces Training Corpus,4 Methods > 4.1 X-Cell Methodology > 4.1.3 Model Architecture,2375,11299,13851,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_003517/screening_evidence_summary.json
full_2026-07-06__rec_003674,full_2026-07-06__rec_003674,uncertain,Deep Learning Strategies for Representation Learning and Generative Modeling in the Biosciences,ok,2,,0,"Data-driven neuroanatomical discovery using transformers > 2.3 Results > CellTransformer enables scaling up to multi-animal, million cell datasets and generalizes to other spatial assays",Data-driven neuroanatomical discovery using transformers > 2.2 Introduction,6414,11816,18534,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/full_2026-07-06__rec_003674/screening_evidence_summary.json
june_update_2026-06-10__rec_000139,june_update_2026-06-10__rec_000139,include,Carbon: Decoding the Language of Life,ok,2,,0,3 Data > 3.2 CARBON Training Corpus,CARBON: Decoding the Language of Life > ABSTRACT,9325,3224,12675,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_04/june_update_2026-06-10__rec_000139/screening_evidence_summary.json
full_2026-07-06__rec_000099,full_2026-07-06__rec_000099,include,Semantic design of functional de novo genes from a genomic language model.,ok,2,,0,Article > Methods > Evo 1.5 pretraining,Article > Evo enables in-context genomic design,1960,5310,7399,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_000099/screening_evidence_summary.json
full_2026-07-06__rec_000106,full_2026-07-06__rec_000106,uncertain,CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities.,ok,2,,0,CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities > 2. Results > 2.4. Finetuning of CELLama Results for Better Performance,CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities > 2. Results > 2.5. Analyzing Cells with Spatial Context by Niche Cell Information on ST with CELLama,2168,142,2774,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_000106/screening_evidence_summary.json
full_2026-07-06__rec_000822,full_2026-07-06__rec_000822,include,HydraRNA: a hybrid architecture based full-length RNA language model,ok,2,,0,HydraRNA: a hybrid architecture based fulllength RNA language model > Results > Development of HydraRNA,HydraRNA: a hybrid architecture based fulllength RNA language model > Methods > Random span masked language model,2505,1902,4666,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_000822/screening_evidence_summary.json
full_2026-07-06__rec_001319,full_2026-07-06__rec_001319,include,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,ok,2,,0,Results > Overview of InstructCell,InstructCell model architecture > Input embeddings,8325,1488,9940,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_001319/screening_evidence_summary.json
full_2026-07-06__rec_001343,full_2026-07-06__rec_001343,uncertain,A General Single-Cell Analysis Framework via Conditional Diffusion Generative Models,ok,1,,0,2 A GENERAL POSTERIOR ESTIMATION FRAMEWORK > 2.2 CONDITIONAL DIFFUSION MODEL FOR POSTERIOR ESTIMATION,,6278,0,6417,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_001343/screening_evidence_summary.json
full_2026-07-06__rec_001625,full_2026-07-06__rec_001625,include,Celler:A Genomic Language Model for Long-Tailed Single-Cell Annotation,ok,2,,0,Celler: A Genomic Language Model for Long-Tailed Single-Cell Annotation > Abstract,3 Methods > 3.1 Pretraining Process,1510,2917,4587,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_001625/screening_evidence_summary.json
full_2026-07-06__rec_002049,full_2026-07-06__rec_002049,include,BioVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning,ok,2,,0,4 EXPERIMENTAL SETUP > 4.2 DATASETS AND EVALUATION > 4.2.1 ALIGNMENT,3 METHOD > 3.1 PROBLEM SETUP,1628,642,2409,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_002049/screening_evidence_summary.json
full_2026-07-06__rec_002073,full_2026-07-06__rec_002073,uncertain,CellPLM: Pre-training of Cell Language Model Beyond Single Cells,ok,2,,0,CellPLM: Pre-training of Cell Language Model Beyond Single Cells > 3.3 Model Pre-training & Fine-tuning > 4 Experiment,Appendix for CellPLM: Pre-training of Cell Language Model Beyond Single Cells > B 2D Sinusoid Positional Encodings,1008,864,2147,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_002073/screening_evidence_summary.json
full_2026-07-06__rec_002581,full_2026-07-06__rec_002581,include,CellReasoner: A reasoning-enhanced large language model for cell type annotation,ok,2,,0," reasoning mode fusion realigns and fine-tunes the model's inference patterns against CoT references, restoring latent reasoning pathways and further enhancing interpretability. > Stage I: Reasoning Scaffold",Cell Sentence Construction,953,758,1988,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_002581/screening_evidence_summary.json
full_2026-07-06__rec_003097,full_2026-07-06__rec_003097,uncertain,Transcriptomic Neural Networks Architecture and Applications to Functional and Aging Research,ok,2,,0,Large-scale foundation model on single-cell transcriptomics > The scFoundation pretraining framework,Large-scale foundation model on single-cell transcriptomics > scFoundation model architecture,4093,4264,8593,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_003097/screening_evidence_summary.json
full_2026-07-06__rec_003177,full_2026-07-06__rec_003177,include,Joint embedding of transcriptomes and text enables interactive single-cell RNA-seq data exploration via natural language,ok,1,,0,APPENDIX > A DATASET CURATION > TRAINING SET GENERATION,,2390,0,2483,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_003177/screening_evidence_summary.json
full_2026-07-06__rec_003569,full_2026-07-06__rec_003569,include,Circular RNA identification using a genomic language model and a small number of authenticated examples,ok,1,,0,"2. RESULTS > 2.1. circFormer: A curriculum learning-empowered gLM to address the ""data scarcity-noise"" paradox",,5141,0,5289,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_003569/screening_evidence_summary.json
full_2026-07-06__rec_003763,full_2026-07-06__rec_003763,uncertain,"Escaping the forest: a sparse, interpretable, and foundational neural network alternative for tabular data",ok,2,,0,"Escaping the forest: a sparse, interpretable, and foundational neural network alternative for tabular data > Results > sTabNet on complex real-world datasets","Escaping the forest: a sparse, interpretable, and foundational neural network alternative for tabular data > Results > sTabNet: a sparse model for tabular data > Fig. 1 | A sparse and interpretable neural network.",1557,4296,6266,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/full_2026-07-06__rec_003763/screening_evidence_summary.json
june_update_2026-06-10__rec_000142,june_update_2026-06-10__rec_000142,include,OryzaG3: A Single-species Genomic Foundation Model Pretrained on Rice Pangenome,ok,2,,0,OryzaG3: A Single-species Genomic Foundation Model Pretrained on Rice Pangenome > Abstract,Introduction,1280,3957,5382,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_05/june_update_2026-06-10__rec_000142/screening_evidence_summary.json
full_2026-07-06__rec_000129,full_2026-07-06__rec_000129,uncertain,Genos: a human-centric genomic foundation model.,ok,1,,0,Method > Data collection and preprocessing,,2933,0,3013,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_000129/screening_evidence_summary.json
full_2026-07-06__rec_000160,full_2026-07-06__rec_000160,include,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,ok,2,,0,PlantCAD2: A Long-Context DNA Language 1 Model  for  Cross-Species  Functional  Annotation 2 in Angiosperms 3 > Methods > Preparing pre-training genomes,PlantCAD2: A Long-Context DNA Language 1 Model  for  Cross-Species  Functional  Annotation 2 in Angiosperms 3 > Supplemental Information > References 773,3818,23963,28129,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_000160/screening_evidence_summary.json
full_2026-07-06__rec_000843,full_2026-07-06__rec_000843,include,mRNA-LM: full-length integrated SLM for mRNA analysis,ok,2,,0,Materials and methods > Datasets for pretraining UTRBERTs,Materials and methods > Pretraining our models,884,1004,2034,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_000843/screening_evidence_summary.json
full_2026-07-06__rec_001351,full_2026-07-06__rec_001351,include,JanusDNA: A Powerful Bi-directional Hybrid DNA Foundation Model,ok,2,,0,3 JanusDNA > 3.1 Bidirectional Efficient Training > Empirical Validation of Training Efficiency,4 Experiments > 4.1 Pre-training on Human Reference Genome,3054,856,4106,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_001351/screening_evidence_summary.json
full_2026-07-06__rec_001402,full_2026-07-06__rec_001402,uncertain,Decoding the ERS-CAF immunoregulatory axis via multimodal AI and its pan-cancer prognostic and therapeutic predictive value.,ok,1,,1,DecodingtheERS -CAFimmunoregulatory axis via multimodal AI and its pan-cancer prognostic and therapeutic predictive value > Methods > Experimental setup,,2376,0,2566,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_001402/screening_evidence_summary.json
full_2026-07-06__rec_001633,full_2026-07-06__rec_001633,include,GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics,ok,2,,0,ABSTRACT,5 INNOVATIONS REALIZED > 5.2 Large language models,2763,18138,21002,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_001633/screening_evidence_summary.json
full_2026-07-06__rec_002105,full_2026-07-06__rec_002105,include,Multimodal learning of transcriptomes and text enables interactive single-cell RNA-seq data exploration with natural-language chats,ok,2,,0,Discussion > Creation of a multimodal training dataset with pairs of transcriptomes and text,Results > CellWhisperer links transcriptomes and text through a multimodal embedding model and LLM,3157,4620,8010,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_002105/screening_evidence_summary.json
full_2026-07-06__rec_002228,full_2026-07-06__rec_002228,uncertain,Adding layers of information to scRNA-seq data using pre-trained language models,ok,2,,0,5 Methods > 5.1 Preprocessing of single-cell RNA seq data > 5.1.2 Developing Mouse Brain dataset (LaManno et al.),2 Results > 2.1 A unified workflow to embed single-cell profiles in the context of biomedical knowledge,748,5395,6402,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_002228/screening_evidence_summary.json
full_2026-07-06__rec_002676,full_2026-07-06__rec_002676,include,Nucleotide dependency analysis of DNA language models reveals genomic functional elements,ok,1,,0,Nucleotide dependency analysis of genomic language models detects functional elements > Online content > Methods > SpeciesLM training,,1217,0,1388,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_002676/screening_evidence_summary.json
full_2026-07-06__rec_003113,full_2026-07-06__rec_003113,uncertain,scELMo: Embeddings from Language Models,ok,2,,0,A Examples of the text description outputs of different LLMs.,B Analyzing mouse single-cell data.,6725,1167,8031,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_003113/screening_evidence_summary.json
full_2026-07-06__rec_003188,full_2026-07-06__rec_003188,include,Multimodal Cell Context Instruction Tuning for Conditional DNA Regulatory Sequence Generation with Large Language Models,ok,2,,0,3. EXPERIMENTS AND RESULTS > 3.1. Experimental Setup,2.  METHODOLOGY > 2.2. Multimodal Cell Context Instruction Tuning,872,2395,3427,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_003188/screening_evidence_summary.json
full_2026-07-06__rec_003315,full_2026-07-06__rec_003315,uncertain,Aligning foundation models on encoded synthetic omic data for patient stratification,ok,2,,0,II. METHODS > A. Synthetic data generation,III. RESULTS > A. Experimental setting,2658,2569,5350,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_003315/screening_evidence_summary.json
full_2026-07-06__rec_003593,full_2026-07-06__rec_003593,include,Retentive Network promotes efficient RNA language modeling of long sequences,ok,2,,0,Retentive Network promotes ef fi cient RNAlanguagemodelingoflongsequences > Methods > Pretraining strategies,Retentive Network promotes ef fi cient RNAlanguagemodelingoflongsequences > Methods > RNA-RNA interaction prediction,1676,1061,3004,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/full_2026-07-06__rec_003593/screening_evidence_summary.json
june_update_2026-06-10__rec_000148,june_update_2026-06-10__rec_000148,include,"SciCore-Omics: a tri-modal foundation model unifying histology, spatial transcriptomics and language for spatial biology",ok,2,,0,3 Online Methods > 3.4 Training corpus construction and progressive multimodal alignment,3 Online Methods > 3.2 Model architecture,2762,2248,5182,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_06/june_update_2026-06-10__rec_000148/screening_evidence_summary.json
full_2026-07-06__rec_000149,full_2026-07-06__rec_000149,uncertain,Predicting functional constraints across evolutionary timescales with phylogeny-informed genomic language models.,ok,2,,0,Predicting functional constraints across evolutionary timescales with phylogeny-informed genomic language models > Methods > Training Data,Predicting functional constraints across evolutionary timescales with phylogeny-informed genomic language models > Results > Alignment- and phylogeny-informed genomic language models,2764,4475,7602,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_000149/screening_evidence_summary.json
full_2026-07-06__rec_000184,full_2026-07-06__rec_000184,include,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,ok,1,,0,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction > Abstract,,1733,0,1883,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_000184/screening_evidence_summary.json
full_2026-07-06__rec_000867,full_2026-07-06__rec_000867,include,A long-context language model for deciphering and generating bacteriophage genomes,ok,1,,2,A long-context language model for deciphering and generating bacteriophage genomes > Results > megaDNA allows zero-shot prediction of gene essentiality,,3292,0,3481,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_000867/screening_evidence_summary.json
full_2026-07-06__rec_001352,full_2026-07-06__rec_001352,include,Towards Generalist Biomedical AI,ok,2,,0,4 Med-PaLM M: A Proof of Concept for Generalist Biomedical AI > 4.1 Model preliminaries,4 Med-PaLM M: A Proof of Concept for Generalist Biomedical AI > 4.2 Putting it all together: Med-PaLM M,2643,5105,7981,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_001352/screening_evidence_summary.json
full_2026-07-06__rec_001425,full_2026-07-06__rec_001425,uncertain,Zygosity-Aware DNA Language Modeling Improves Ancestry and Gene Expression Prediction,ok,2,,0,2 METHODS > 2.1 DATA SOURCES > 2.1.1 1000 GENOMES PROJECT,2 METHODS > 2.2 STUDY DESIGN > 2.2.2 GENE EXPRESSION PREDICTION,892,1057,2112,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_001425/screening_evidence_summary.json
full_2026-07-06__rec_001641,full_2026-07-06__rec_001641,include,CanBART: A generative foundation model of cancer molecular alterations for synthetic patient generation and genomic profile completion,ok,1,,0,CanBART improves cross-platform prediction with a foundation model of targeted genomic panels > Methods > Data Representation,,2048,0,2211,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_001641/screening_evidence_summary.json
full_2026-07-06__rec_002151,full_2026-07-06__rec_002151,include,scGenAI: A generative AI platform with biological context embedding of multimodal features enhances single cell state classification,ok,1,,0,3. Application Examples and Results > 3.2 AML Malignant Cells Prediction,,2434,0,2544,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_002151/screening_evidence_summary.json
full_2026-07-06__rec_002243,full_2026-07-06__rec_002243,uncertain,"Human Genome Book:Words,Sentences and Paragraphs",ok,2,,0,"Human Genome Book: Words, Sentences and Paragraphs > 1. Construction of the Pre-trained Model gpt2-gene-eng > 2.2. Pretrained model > Natural Language Data","Human Genome Book: Words, Sentences and Paragraphs > 2. Binary Classication Problem > 2.6. Summary model > Model Training",1757,750,2826,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_002243/screening_evidence_summary.json
full_2026-07-06__rec_002780,full_2026-07-06__rec_002780,include,From a single sequence to evolutionary trajectories: protein language models capture the evolutionary potential of SARS-CoV-2 protein sequences,ok,2,,0,Methods > ESM-2 and in silico DMS,Methods > Dynamic embeddings and horizon scanning,1657,550,2332,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_002780/screening_evidence_summary.json
full_2026-07-06__rec_003118,full_2026-07-06__rec_003118,uncertain,ZerOmics: Toward General Models for Single-Cell Analysis with Instruction Tuning,ok,2,,0,A DATASETS INFORMATION > A.2 GENE CORPUS COLLECTION,3 METHODOLOGY > 3.1 SINGLE-CELL MODEL PRE-TRAINING,1122,4643,5909,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_003118/screening_evidence_summary.json
full_2026-07-06__rec_003206,full_2026-07-06__rec_003206,include,Cell2Sentence: teaching large language models the language of biology,ok,2,,0,3 Methods > 3.1 Data transformation,Cell2Sentence: Teaching Large Language Models the Language of Biology > Abstract,2202,1432,3792,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_003206/screening_evidence_summary.json
full_2026-07-06__rec_003323,full_2026-07-06__rec_003323,uncertain,Teampath: Building multimodal pathology experts with reasoning ai copilots,ok,2,,0,5. Code and Data Availability,2. Results,606,22607,23295,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_003323/screening_evidence_summary.json
full_2026-07-06__rec_003609,full_2026-07-06__rec_003609,include,evoCancerGPT: Generating Zero-Shot Single-Cell and Single-Sample Cancer Progression Through Transfer Learning,ok,2,,0,2 Model > 2.3 Data and model training,B Model > B.1 Data preparation and input representation > B.1.2 Special Tokens,807,2191,3156,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_003609/screening_evidence_summary.json
full_2026-07-06__rec_003853,full_2026-07-06__rec_003853,uncertain,From Modality Translation to Regulatory Reasoning: Interpretable AI for Single-Cell Multi-Omic Systems,ok,2,,0,GRIDS: Learnable Subset Perturbations for Global Regulatory Redundancy Reasoning > 5.3 Methods > 5.3.5 Evaluation Metrics,GRIDS: Learnable Subset Perturbations for Global Regulatory Redundancy Reasoning > 5.3 Methods > 5.3.1 Problem Setup,2616,4410,7306,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/full_2026-07-06__rec_003853/screening_evidence_summary.json
june_update_2026-06-10__rec_000152,june_update_2026-06-10__rec_000152,include,H2O: A Foundation Model Bridging Histopathology to Spatial Multi-Omics Profiling,ok,2,,0,Methods > Datasets,Methods > Model Training,2287,845,3217,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_07/june_update_2026-06-10__rec_000152/screening_evidence_summary.json
full_2026-07-06__rec_000324,full_2026-07-06__rec_000324,uncertain,EpiGePT: a pretrained transformer-based language model for context-specific human epigenomics.,ok,2,,0,EpiGePT: a pretrained transformer-based language model for context-specific human epigenomics > Methods > Model architecture > TF module,EpiGePT: a pretrained transformer-based language model for context-specific human epigenomics > Results > Overview of EpiGePT,707,2697,3708,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_08/full_2026-07-06__rec_000324/screening_evidence_summary.json
full_2026-07-06__rec_000908,full_2026-07-06__rec_000908,include,DNA language model GROVER learns sequence context in the human genome,ok,1,,0,DNA language model GROVER learns sequence context in the human genome > Methods > The DLM GROVER,,1289,0,1423,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_08/full_2026-07-06__rec_000908/screening_evidence_summary.json
full_2026-07-06__rec_001358,full_2026-07-06__rec_001358,include,Harnessing the Power of Single-Cell Large Language Models with Parameter Efficient Fine-Tuning using scPEFT,ok,1,,0,Harnessing the power of single-cell large language models with parameter-efficient fine-tuning using scPEFT > Supplementary Notes > Supplementary Note 8: Unsupervised adaptation of scPEFT to the lung cancer atlas,,3103,0,3353,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_08/full_2026-07-06__rec_001358/screening_evidence_summary.json
full_2026-07-06__rec_001609,full_2026-07-06__rec_001609,uncertain,DNACSE: Enhancing Genomic LLMs with Contrastive Learning for DNA Barcode Identification †,ok,1,,0,DNACSE: Enhancing Genomic LLMs with Contrastive Learning for DNA Barcode Identification † > Materials and Methods > Data Processing,,1809,0,1978,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_08/full_2026-07-06__rec_001609/screening_evidence_summary.json
full_2026-07-06__rec_001655,full_2026-07-06__rec_001655,include,Exploring the Potentials and Challenges of Using Large Language Models for the Analysis of Transcriptional Regulation of Long Non-coding RNAs,ok,2,,0,3.1 Foundation Models,3.1 Foundation Models > 4 W. Wang et al.,2796,1336,4236,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_08/full_2026-07-06__rec_001655/screening_evidence_summary.json
full_2026-07-06__rec_002162,full_2026-07-06__rec_002162,include,Enhancing DNA Foundation Models to Address Masking Inefficiencies,ok,2,,0,A Comparison with causal models,2 Method > 2.2 BarcodeMAE: A masked auto-encoding model for DNA barcode sequences > 2.2.2 Model implementation,3334,2584,6102,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_08/full_2026-07-06__rec_002162/screening_evidence_summary.json
full_2026-07-06__rec_002248,full_2026-07-06__rec_002248,uncertain,Leveraging large language models to predict antibiotic resistance in Mycobacterium tuberculosis,ok,2,,0,Leveraging large language models to predict antibiotic resistance in Mycobacterium tuberculosis > Abstract,4 Discussion,1743,3847,5751,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_08/full_2026-07-06__rec_002248/screening_evidence_summary.json
full_2026-07-06__rec_002958,full_2026-07-06__rec_002958,include,A multimodal cell-free RNA language model for liquid biopsy applications,ok,2,,2,A multimodal cell-free RNA language model for liquid biopsy applications > Methods > Dataset,A multimodal cell-free RNA language model for liquid biopsy applications > Results > Exai-1: training a multimodal foundation model on large-scale cfRNA data,939,4147,5378,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_08/full_2026-07-06__rec_002958/screening_evidence_summary.json
